epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,8213.02,0.50988,0.07678,0.02155,0.25863,0.91239,0.99665,0.99903,0.99459,0.94322,0.99719,0.99958,0.99457,0.9943,0.37315,0.02334,0.00048,0.96879,0.8086,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325
75,8313.57,0.50202,0.07846,0.01923,0.25655,0.91215,0.99666,0.99903,0.99456,0.94313,0.99719,0.99958,0.99454,0.99427,0.37285,0.02332,0.00048,0.96941,0.80845,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
76,8413.81,0.50674,0.07812,0.01983,0.25613,0.91405,0.99667,0.99903,0.9946,0.94333,0.9972,0.99958,0.99458,0.99432,0.37284,0.0233,0.00048,0.9723,0.80857,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
77,8514.23,0.50587,0.07915,0.0197,0.25894,0.91282,0.99668,0.99903,0.99464,0.94354,0.9972,0.99958,0.99462,0.99437,0.37264,0.02328,0.00047,0.98434,0.80852,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
78,8614.65,0.5037,0.07399,0.01933,0.25639,0.91077,0.99668,0.99901,0.99462,0.94338,0.99721,0.99958,0.9946,0.99435,0.37246,0.02327,0.00047,0.98321,0.80842,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425
79,8714.97,0.50607,0.07957,0.02028,0.25685,0.91153,0.99668,0.99903,0.99465,0.94325,0.99721,0.99958,0.99463,0.99437,0.37229,0.02326,0.00047,0.99087,0.80845,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
80,8815.47,0.49781,0.07199,0.01874,0.25739,0.90899,0.99682,0.99903,0.99464,0.94324,0.99722,0.99958,0.99462,0.99436,0.37225,0.02326,0.00047,0.9842,0.80847,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475
81,8916.2,0.50421,0.07397,0.0207,0.25537,0.90719,0.99682,0.99899,0.99463,0.94299,0.99728,0.99958,0.99461,0.99435,0.3721,0.02327,0.00047,0.9821,0.80838,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
82,9017.13,0.49756,0.07078,0.01997,0.2573,0.90696,0.99696,0.99893,0.99465,0.94301,0.99735,0.99958,0.99463,0.99436,0.37213,0.02329,0.00046,0.97267,0.80847,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525
83,9117.59,0.50078,0.07822,0.01952,0.2534,0.9013,0.99696,0.99889,0.99464,0.94294,0.99739,0.99958,0.99463,0.99436,0.37207,0.0233,0.00047,0.96862,0.80853,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
